id_animal,fazenda,raca,categoria,idade_anos,ecc,dpp,peso_kg,touro,protocolo,thi,resultado_prenhez,perda_gestacional,custo_protocolo,custo_manutencao_dia,custo_nutricional,valor_bezerro,dias_abertos,receita_esperada,custo_manutencao_total,custo_total,margem_bruta,roi
BOV-00034,Fazenda Nova Aliança,Angus,Primípara,3.9,3.6,91,435,Touro_B,Monta Natural,74.8,0,0,15,8.55,628.03,2865,365,0,3120.7500000000005,3763.7800000000007,-3763.7800000000007,-100.0
BOV-00035,Fazenda Nova Aliança,Angus,Multípara,7.3,5.3,35,474,Touro_H,IATF,67.0,0,0,45,7.92,532.24,2554,365,0,2890.8,3468.04,-3468.04,-100.0
BOV-00036,Fazenda Esperança,Nelore,Primípara,2.6,5.7,48,346,Touro_G,Monta Natural,79.8,0,0,15,7.54,476.03,2106,365,0,2752.1,3243.13,-3243.13,-100.0
BOV-00037,Fazenda Boa Vista,Brangus,Primípara,3.6,2.1,80,362,Touro_J,Monta Natural,66.4,0,0,15,8.94,438.71,2605,365,0,3263.1,3716.81,-3716.81,-100.0
BOV-00038,Fazenda Santa Helena,Brangus,Primípara,2.7,6.3,76,429,Touro_H,Monta Natural,73.4,1,0,15,9.4,522.94,2786,76,2786,714.4,1252.3400000000001,1533.6599999999999,122.463548237699
BOV-00039,Fazenda Esperança,Nelore,Primípara,4.2,5.4,54,352,Touro_D,TE,68.8,1,0,180,7.02,282.39,2198,54,2198,379.08,841.4699999999999,1356.5300000000002,161.20954995424677
BOV-00040,Fazenda Boa Vista,Nelore,Primípara,4.0,5.7,48,427,Touro_A,Monta Natural,78.4,0,0,15,7.92,345.41,1934,365,0,2890.8,3251.21,-3251.21,-100.0
BOV-00041,Fazenda Santa Helena,Senepol,Multípara,7.7,5.0,95,429,Touro_G,Monta Natural,75.4,0,0,15,7.93,426.91,2845,365,0,2894.45,3336.3599999999997,-3336.3599999999997,-100.0
BOV-00042,Fazenda São José,Angus,Multípara,7.4,3.4,68,492,Touro_A,Monta Natural,70.9,1,0,15,9.28,413.95,2446,68,2446,631.04,1059.99,1386.01,130.75689393296165
BOV-00043,Fazenda Santa Helena,Angus,Multípara,11.2,6.1,30,535,Touro_G,IATF + Repasse,62.7,1,0,60,9.2,531.81,2972,30,2972,276.0,867.81,2104.19,242.4712782751985
BOV-00044,Fazenda Nova Aliança,Senepol,Multípara,6.3,5.4,30,381,Touro_I,IATF,74.3,0,0,45,7.29,469.63,2588,365,0,2660.85,3175.48,-3175.48,-100.0
BOV-00045,Fazenda Boa Vista,Brangus,Primípara,3.0,5.0,62,401,Touro_E,IATF + Repasse,72.9,0,0,60,6.54,519.86,2573,365,0,2387.1,2966.96,-2966.96,-100.0
BOV-00046,Fazenda São José,Angus,Multípara,11.5,6.8,78,487,Touro_B,IATF,62.7,1,1,45,8.47,598.33,2508,78,0,660.6600000000001,1303.9900000000002,-1303.9900000000002,-100.0
BOV-00047,Fazenda Boa Vista,Hereford,Primípara,4.1,5.8,81,453,Touro_K,IATF,73.2,1,0,45,5.79,538.2,1906,81,1906,468.99,1052.19,853.81,81.14599074311673
BOV-00048,Fazenda São José,Hereford,Multípara,10.6,7.8,88,514,Touro_A,Monta Natural,76.0,1,1,15,9.07,440.44,2221,88,0,798.1600000000001,1253.6000000000001,-1253.6000000000001,-100.0
BOV-00049,Fazenda São José,Angus,Primípara,2.9,5.2,40,485,Touro_H,IATF,72.4,0,0,45,8.93,431.56,2913,365,0,3259.45,3736.0099999999998,-3736.0099999999998,-100.0
BOV-00050,Fazenda Santa Helena,Angus,Multípara,5.1,4.7,65,484,Touro_D,IATF,69.0,1,0,45,8.79,401.1,2924,65,2924,571.3499999999999,1017.4499999999999,1906.5500000000002,187.38512949039267
BOV-00051,Fazenda Nova Aliança,Nelore,Multípara,4.2,5.3,95,432,Touro_H,IATF,80.2,1,0,45,8.39,591.28,2659,95,2659,797.0500000000001,1433.33,1225.67,85.51205933037055
BOV-00052,Fazenda Esperança,Senepol,Multípara,5.9,6.0,93,453,Touro_B,TE,83.0,1,0,180,6.99,465.0,2513,93,2513,650.07,1295.0700000000002,1217.9299999999998,94.04356521269118
BOV-00053,Fazenda Nova Aliança,Brangus,Multípara,10.2,6.7,68,401,Touro_C,IATF,65.3,1,0,45,8.83,433.73,2615,68,2615,600.44,1079.17,1535.83,142.31585385064446
BOV-00054,Fazenda Nova Aliança,Nelore,Multípara,5.9,3.7,118,414,Touro_C,IATF,78.2,0,0,45,8.12,512.08,1990,365,0,2963.7999999999997,3520.8799999999997,-3520.8799999999997,-100.0
BOV-00055,Fazenda São José,Hereford,Multípara,9.8,5.5,75,480,Touro_D,IATF + Repasse,74.6,1,1,60,7.54,709.55,2587,75,0,565.5,1335.05,-1335.05,-100.0
BOV-00056,Fazenda Nova Aliança,Angus,Primípara,3.0,6.6,90,468,Touro_I,TE,68.3,1,0,180,8.34,575.91,2801,90,2801,750.6,1506.51,1294.49,85.92641270220575
BOV-00057,Fazenda Santa Helena,Nelore,Primípara,3.3,4.8,70,353,Touro_I,IATF + Repasse,70.7,0,0,60,7.84,311.39,2699,365,0,2861.6,3232.99,-3232.99,-100.0
BOV-00058,Fazenda Santa Helena,Angus,Primípara,4.5,5.9,54,399,Touro_E,TE,71.0,0,0,180,5.81,571.29,2904,365,0,2120.6499999999996,2871.9399999999996,-2871.9399999999996,-100.0
BOV-00059,Fazenda Santa Helena,Angus,Novilha,1.9,6.4,0,391,Touro_G,IATF + Repasse,78.3,1,0,60,10.31,375.65,2676,0,2676,0.0,435.65,2240.35,514.2545621485137
BOV-00060,Fazenda Boa Vista,Hereford,Primípara,3.3,6.0,52,519,Touro_I,Monta Natural,69.3,1,0,15,5.11,702.44,2492,52,2492,265.72,983.1600000000001,1508.84,153.46840799056102
BOV-00061,Fazenda Boa Vista,Nelore,Primípara,3.1,4.2,73,357,Touro_A,IATF,61.0,1,0,45,6.07,472.43,1549,73,1549,443.11,960.54,588.46,61.26345597268204
BOV-00062,Fazenda Boa Vista,Hereford,Primípara,2.7,4.2,65,487,Touro_B,IATF + Repasse,70.7,1,0,60,6.73,531.1,2305,65,2305,437.45000000000005,1028.5500000000002,1276.4499999999998,124.10189101161826
BOV-00063,Fazenda Esperança,Angus,Multípara,7.9,5.5,30,543,Touro_F,Monta Natural,77.6,0,0,15,7.64,632.89,2690,365,0,2788.6,3436.49,-3436.49,-100.0
BOV-00064,Fazenda Boa Vista,Nelore,Multípara,7.0,3.7,34,422,Touro_C,IATF,79.1,0,0,45,7.19,405.13,2201,365,0,2624.3500000000004,3074.4800000000005,-3074.4800000000005,-100.0
BOV-00065,Fazenda Boa Vista,Senepol,Novilha,2.5,5.8,0,333,Touro_K,TE,69.5,0,0,180,6.65,430.17,2238,365,0,2427.25,3037.42,-3037.42,-100.0
BOV-00066,Fazenda São José,Angus,Primípara,4.1,5.3,63,471,Touro_L,Monta Natural,74.9,0,0,15,7.37,699.66,3137,365,0,2690.05,3404.71,-3404.71,-100.0
BOV-00067,Fazenda Santa Helena,Nelore,Primípara,3.6,6.8,84,398,Touro_K,IATF + Repasse,79.2,0,0,60,8.94,437.41,2434,365,0,3263.1,3760.5099999999998,-3760.5099999999998,-100.0
BOV-00068,Fazenda Esperança,Angus,Primípara,2.6,5.4,69,416,Touro_G,IATF + Repasse,75.9,1,0,60,6.44,623.39,2933,69,2933,444.36,1127.75,1805.25,160.0753713145644
BOV-00069,Fazenda Santa Helena,Hereford,Multípara,9.0,6.3,58,444,Touro_E,IATF,84.4,1,0,45,9.05,433.65,3034,58,3034,524.9000000000001,1003.5500000000001,2030.4499999999998,202.32674007274173
BOV-00070,Fazenda Nova Aliança,Nelore,Primípara,2.6,6.2,50,408,Touro_J,TE,80.4,1,0,180,8.59,360.85,2564,50,2564,429.5,970.35,1593.65,164.23455454217552
BOV-00071,Fazenda Esperança,Nelore,Multípara,8.9,4.3,60,457,Touro_H,IATF + Repasse,69.4,1,0,60,7.55,685.02,2048,60,2048,453.0,1198.02,849.98,70.94873207458974
BOV-00072,Fazenda Santa Helena,Nelore,Multípara,9.5,5.3,92,407,Touro_A,Monta Natural,71.4,1,0,15,7.43,432.74,2055,92,2055,683.56,1131.3,923.7,81.64942985945373
BOV-00073,Fazenda Santa Helena,Nelore,Multípara,5.6,8.4,63,417,Touro_I,IATF + Repasse,82.2,0,0,60,8.03,584.45,2168,365,0,2930.95,3575.3999999999996,-3575.3999999999996,-100.0
BOV-00074,Fazenda Esperança,Hereford,Novilha,2.7,5.9,0,417,Touro_K,IATF,65.0,1,0,45,9.32,342.21,2579,0,2579,0.0,387.21,2191.79,566.0468479636373
BOV-00075,Fazenda Esperança,Angus,Multípara,11.3,6.8,30,473,Touro_J,IATF + Repasse,71.6,1,0,60,7.35,586.36,2310,30,2310,220.5,866.86,1443.1399999999999,166.4790162194587
BOV-00076,Fazenda Esperança,Nelore,Primípara,4.1,6.0,44,378,Touro_F,IATF,83.4,0,0,45,5.94,303.28,2335,365,0,2168.1000000000004,2516.38,-2516.38,-100.0
BOV-00077,Fazenda Esperança,Nelore,Primípara,3.1,3.5,81,360,Touro_L,IATF + Repasse,84.2,0,0,60,8.18,415.13,2207,365,0,2985.7,3460.83,-3460.83,-100.0
BOV-00078,Fazenda Santa Helena,Nelore,Novilha,2.4,6.2,0,309,Touro_E,IATF + Repasse,73.8,1,0,60,7.79,406.52,2541,0,2541,0.0,466.52,2074.48,444.6711823716026
BOV-00079,Fazenda Boa Vista,Senepol,Primípara,4.3,5.1,65,517,Touro_H,IATF,62.0,1,0,45,8.18,638.47,2081,65,2081,531.6999999999999,1215.17,865.8299999999999,71.25175901314218
BOV-00080,Fazenda Santa Helena,Nelore,Primípara,3.1,5.3,68,382,Touro_L,IATF,69.9,1,0,45,6.14,473.43,2458,68,2458,417.52,935.95,1522.05,162.6208664992788
BOV-00081,Fazenda Nova Aliança,Senepol,Primípara,4.1,4.2,57,465,Touro_L,IATF,76.3,1,0,45,8.29,478.31,3128,57,3128,472.53,995.8399999999999,2132.16,214.10668380462727
BOV-00082,Fazenda São José,Angus,Multípara,4.1,4.2,72,547,Touro_D,IATF + Repasse,67.2,1,0,60,10.98,680.26,2554,72,2554,790.5600000000001,1530.8200000000002,1023.1799999999998,66.8386877621144
BOV-00083,Fazenda Boa Vista,Nelore,Multípara,4.0,4.9,52,413,Touro_L,IATF,86.1,1,0,45,7.77,577.51,2033,52,2033,404.03999999999996,1026.55,1006.45,98.04198529053627
BOV-00084,Fazenda Santa Helena,Hereford,Novilha,2.6,5.9,0,405,Touro_I,TE,70.6,1,0,180,9.19,464.8,2758,0,2758,0.0,644.8,2113.2,327.72952853598014
BOV-00085,Fazenda Boa Vista,Angus,Novilha,2.6,6.9,0,404,Touro_E,TE,80.0,1,1,180,6.2,476.39,2938,0,0,0.0,656.39,-656.39,-100.0
BOV-00086,Fazenda Boa Vista,Brangus,Multípara,10.3,7.7,55,396,Touro_A,Monta Natural,71.3,1,0,15,5.97,549.2,1962,55,1962,328.34999999999997,892.55,1069.45,119.81961794857432
BOV-00087,Fazenda Esperança,Senepol,Novilha,2.9,7.1,0,298,Touro_H,IATF,73.9,1,0,45,7.02,263.82,2760,0,2760,0.0,308.82,2451.18,793.724499708568
BOV-00088,Fazenda São José,Nelore,Multípara,4.9,6.5,38,422,Touro_I,IATF + Repasse,72.0,0,0,60,9.56,515.16,1655,365,0,3489.4,4064.56,-4064.56,-100.0
BOV-00089,Fazenda Nova Aliança,Nelore,Multípara,5.9,4.3,83,403,Touro_E,IATF + Repasse,68.6,0,0,60,7.75,456.24,2444,365,0,2828.75,3344.99,-3344.99,-100.0
BOV-00090,Fazenda São José,Brangus,Primípara,4.3,4.6,65,506,Touro_E,IATF,69.6,1,0,45,7.4,552.6,2032,65,2032,481.0,1078.6,953.4000000000001,88.3923604672724
BOV-00091,Fazenda Santa Helena,Nelore,Novilha,1.8,6.2,0,331,Touro_F,Monta Natural,76.2,1,0,15,9.18,359.25,1988,0,1988,0.0,374.25,1613.75,431.19572478289916
BOV-00092,Fazenda Esperança,Nelore,Novilha,2.5,5.5,0,418,Touro_I,TE,70.7,1,0,180,7.56,519.57,2486,0,2486,0.0,699.57,1786.4299999999998,255.36115042097282
BOV-00093,Fazenda Esperança,Nelore,Novilha,2.3,6.5,0,321,Touro_E,Monta Natural,69.4,1,0,15,7.89,458.49,1997,0,1997,0.0,473.49,1523.51,321.7618112314938
BOV-00094,Fazenda São José,Nelore,Novilha,1.6,6.6,0,416,Touro_B,TE,75.7,1,0,180,8.63,522.1,2519,0,2519,0.0,702.1,1816.9,258.78080045577553
BOV-00095,Fazenda Esperança,Brangus,Multípara,6.3,6.1,75,480,Touro_C,TE,81.2,1,0,180,7.57,472.83,2608,75,2608,567.75,1220.58,1387.42,113.66891150108967
BOV-00096,Fazenda São José,Nelore,Novilha,2.3,6.8,0,363,Touro_K,IATF,82.3,1,0,45,9.57,325.42,2231,0,2231,0.0,370.42,1860.58,502.2892932347065
BOV-00097,Fazenda São José,Angus,Primípara,4.2,4.1,46,430,Touro_J,TE,66.0,1,1,180,8.56,638.45,2658,46,0,393.76000000000005,1212.21,-1212.21,-100.0
BOV-00098,Fazenda Boa Vista,Brangus,Multípara,9.7,6.6,103,483,Touro_C,IATF,67.3,1,0,45,6.08,489.23,2309,103,2309,626.24,1160.47,1148.53,98.9711065344214
BOV-00099,Fazenda Santa Helena,Angus,Primípara,3.7,4.3,95,518,Touro_I,IATF,79.8,0,0,45,7.12,583.44,3340,365,0,2598.8,3227.2400000000002,-3227.2400000000002,-100.0
BOV-00100,Fazenda Santa Helena,Nelore,Novilha,2.2,5.2,0,334,Touro_H,IATF,69.0,1,0,45,8.44,271.25,2230,0,2230,0.0,316.25,1913.75,605.1383399209486
BOV-00101,Fazenda Santa Helena,Hereford,Novilha,1.9,6.4,0,376,Touro_F,Monta Natural,70.6,0,0,15,8.69,514.3,2242,365,0,3171.85,3701.1499999999996,-3701.1499999999996,-100.0
BOV-00102,Fazenda São José,Nelore,Novilha,1.7,7.0,0,330,Touro_E,IATF,63.9,0,0,45,9.85,447.21,2374,365,0,3595.25,4087.46,-4087.46,-100.0
BOV-00103,Fazenda Boa Vista,Brangus,Multípara,7.3,6.1,30,525,Touro_J,IATF,76.3,0,0,45,7.73,675.3,2151,365,0,2821.4500000000003,3541.75,-3541.75,-100.0
BOV-00104,Fazenda São José,Hereford,Primípara,2.6,5.0,53,474,Touro_B,IATF,71.8,1,0,45,8.98,497.34,2662,53,2662,475.94,1018.28,1643.72,161.42122009663356
BOV-00105,Fazenda Nova Aliança,Angus,Multípara,5.7,5.9,71,538,Touro_I,Monta Natural,78.4,1,0,15,8.2,571.11,2405,71,2405,582.1999999999999,1168.31,1236.69,105.85289863135641
BOV-00106,Fazenda Santa Helena,Angus,Primípara,3.4,5.1,43,463,Touro_J,IATF + Repasse,76.8,1,0,60,10.22,531.16,2523,43,2523,439.46000000000004,1030.62,1492.38,144.80409850381326
BOV-00107,Fazenda Boa Vista,Angus,Primípara,3.3,3.9,67,452,Touro_H,Monta Natural,78.3,0,0,15,7.64,488.79,2845,365,0,2788.6,3292.39,-3292.39,-100.0
BOV-00108,Fazenda Esperança,Nelore,Primípara,2.6,3.8,78,407,Touro_E,IATF + Repasse,78.4,0,0,60,7.76,373.59,2263,365,0,2832.4,3265.9900000000002,-3265.9900000000002,-100.0
BOV-00109,Fazenda Santa Helena,Hereford,Multípara,8.7,5.4,55,513,Touro_F,IATF,69.7,1,0,45,7.52,493.36,2311,55,2311,413.59999999999997,951.96,1359.04,142.76230093701415
BOV-00110,Fazenda Santa Helena,Hereford,Primípara,3.6,5.1,80,430,Touro_I,IATF,71.9,1,0,45,8.02,443.58,2738,80,2738,641.5999999999999,1130.1799999999998,1607.8200000000002,142.26229450176083
BOV-00111,Fazenda Boa Vista,Nelore,Novilha,1.6,6.0,0,395,Touro_A,IATF,73.2,1,0,45,5.44,321.5,1680,0,1680,0.0,366.5,1313.5,358.39017735334244
BOV-00112,Fazenda Santa Helena,Brangus,Multípara,11.5,6.3,42,475,Touro_D,IATF,72.6,1,0,45,8.78,493.47,2935,42,2935,368.76,907.23,2027.77,223.51222953385582
BOV-00113,Fazenda Nova Aliança,Senepol,Primípara,2.7,4.8,30,314,Touro_E,IATF + Repasse,76.1,0,0,60,7.25,431.67,2503,365,0,2646.25,3137.92,-3137.92,-100.0
BOV-00114,Fazenda Esperança,Senepol,Primípara,4.2,5.6,89,445,Touro_I,Monta Natural,69.2,0,0,15,6.46,502.17,2493,365,0,2357.9,2875.07,-2875.07,-100.0
BOV-00115,Fazenda São José,Angus,Multípara,4.0,5.3,84,429,Touro_L,IATF,73.9,1,0,45,9.34,398.94,2548,84,2548,784.56,1228.5,1319.5,107.40740740740742
BOV-00116,Fazenda Nova Aliança,Angus,Primípara,4.3,6.8,120,484,Touro_E,IATF,68.5,1,0,45,9.06,622.59,2568,120,2568,1087.2,1754.79,813.21,46.34229736891594
BOV-00117,Fazenda Esperança,Nelore,Multípara,4.2,5.6,30,456,Touro_E,IATF,73.5,0,0,45,6.83,371.71,2451,365,0,2492.95,2909.66,-2909.66,-100.0
BOV-00118,Fazenda Santa Helena,Senepol,Primípara,4.0,7.3,85,423,Touro_L,IATF + Repasse,74.2,1,0,60,8.16,384.17,2611,85,2611,693.6,1137.77,1473.23,129.4839906132171
BOV-00119,Fazenda Nova Aliança,Nelore,Multípara,6.9,5.9,30,442,Touro_L,IATF,64.9,1,0,45,7.69,533.71,2479,30,2479,230.70000000000002,809.4100000000001,1669.59,206.27247007079225
BOV-00120,Fazenda São José,Angus,Multípara,9.9,5.2,103,524,Touro_C,IATF + Repasse,74.1,1,0,60,10.41,665.84,2581,103,2581,1072.23,1798.0700000000002,782.9299999999998,43.5427986674601
BOV-00121,Fazenda Esperança,Nelore,Primípara,3.3,4.1,79,370,Touro_H,IATF,80.2,0,0,45,6.33,372.34,2131,365,0,2310.45,2727.79,-2727.79,-100.0
BOV-00122,Fazenda Nova Aliança,Nelore,Multípara,4.6,3.8,36,452,Touro_G,TE,78.4,1,0,180,5.46,449.55,2292,36,2292,196.56,826.11,1465.8899999999999,177.44489232668772
BOV-00123,Fazenda Boa Vista,Angus,Multípara,10.1,4.3,79,527,Touro_H,Monta Natural,64.9,1,0,15,7.4,429.22,2732,79,2732,584.6,1028.8200000000002,1703.1799999999998,165.54693726793798
BOV-00124,Fazenda Santa Helena,Senepol,Primípara,2.6,4.1,58,480,Touro_D,IATF,64.4,1,0,45,5.89,479.74,2631,58,2631,341.62,866.36,1764.6399999999999,203.68438062699107
BOV-00125,Fazenda Santa Helena,Nelore,Primípara,4.3,5.4,76,346,Touro_H,IATF + Repasse,75.2,1,0,60,7.47,509.15,2019,76,2019,567.72,1136.87,882.1300000000001,77.59286461952556
BOV-00126,Fazenda Boa Vista,Angus,Multípara,4.4,4.9,65,496,Touro_J,Monta Natural,72.9,1,0,15,8.95,534.66,2434,65,2434,581.75,1131.4099999999999,1302.5900000000001,115.12979379712043
BOV-00127,Fazenda Esperança,Nelore,Multípara,7.8,5.7,103,382,Touro_D,IATF + Repasse,71.1,0,0,60,7.42,393.26,2317,365,0,2708.3,3161.5600000000004,-3161.5600000000004,-100.0
BOV-00128,Fazenda Nova Aliança,Nelore,Novilha,2.6,7.0,0,300,Touro_A,IATF + Repasse,57.1,1,0,60,8.36,371.58,1760,0,1760,0.0,431.58,1328.42,307.8038834051624
BOV-00129,Fazenda Santa Helena,Angus,Multípara,7.1,5.4,105,494,Touro_D,IATF + Repasse,65.8,1,0,60,9.38,737.23,3412,105,3412,984.9000000000001,1782.13,1629.87,91.45629106743054
BOV-00130,Fazenda São José,Angus,Novilha,1.8,7.7,0,403,Touro_E,IATF + Repasse,79.7,1,0,60,7.51,445.88,2702,0,2702,0.0,505.88,2196.12,434.11876334308533
BOV-00131,Fazenda Boa Vista,Nelore,Multípara,10.1,4.1,45,466,Touro_J,Monta Natural,74.5,1,0,15,7.26,403.77,2079,45,2079,326.7,745.47,1333.53,178.88446215139442
BOV-00132,Fazenda Santa Helena,Nelore,Multípara,10.3,5.3,86,406,Touro_H,IATF + Repasse,83.9,1,0,60,6.7,528.69,2265,86,2265,576.2,1164.89,1100.11,94.43895990179328
BOV-00133,Fazenda Santa Helena,Nelore,Multípara,11.4,4.9,68,415,Touro_L,IATF,77.2,1,0,45,7.72,592.7,2323,68,2323,524.96,1162.66,1160.34,99.80045757143101
BOV-00134,Fazenda Boa Vista,Nelore,Novilha,2.1,6.7,0,348,Touro_J,IATF + Repasse,74.0,1,0,60,6.92,444.14,2053,0,2053,0.0,504.14,1548.8600000000001,307.2281509104614
