id_animal,fazenda,raca,categoria,idade_anos,ecc,dpp,peso_kg,touro,protocolo,thi,resultado_prenhez,perda_gestacional,custo_protocolo,custo_manutencao_dia,custo_nutricional,valor_bezerro,dias_abertos
BOV-00018,Fazenda São José,Brangus,Novilha,2.6,6.9,0,449,Touro_J,IATF + Repasse,75.0,1,0,60,10.27,378.01,2031,0
BOV-00019,Fazenda Boa Vista,Nelore,Primípara,4.5,3.5,55,415,Touro_H,IATF + Repasse,76.2,1,0,60,7.69,566.14,2670,55
BOV-00020,Fazenda Boa Vista,Nelore,Multípara,7.5,6.6,72,457,Touro_B,IATF,60.7,1,0,45,5.96,573.5,1750,72
BOV-00021,Fazenda São José,Nelore,Novilha,2.1,6.1,0,348,Touro_H,Monta Natural,75.6,1,0,15,8.64,462.78,1874,0
BOV-00022,Fazenda Santa Helena,Angus,Primípara,4.2,6.0,90,385,Touro_J,Monta Natural,71.9,1,0,15,9.37,497.98,2773,90
BOV-00023,Fazenda Boa Vista,Nelore,Multípara,10.4,5.0,71,347,Touro_K,IATF,67.9,0,0,45,6.27,512.71,2190,365
BOV-00024,Fazenda Boa Vista,Nelore,Primípara,4.0,3.7,59,473,Touro_A,IATF + Repasse,81.9,1,0,60,7.38,632.84,2182,59
BOV-00025,Fazenda São José,Nelore,Multípara,7.7,4.0,150,399,Touro_G,IATF,77.4,0,0,45,8.44,426.05,2249,365
BOV-00026,Fazenda Esperança,Nelore,Multípara,6.6,3.9,89,395,Touro_G,TE,67.1,1,0,180,7.42,396.13,1996,89
BOV-00027,Fazenda Santa Helena,Angus,Primípara,3.7,5.5,88,460,Touro_F,IATF,69.1,1,0,45,9.64,462.02,2314,88
BOV-00028,Fazenda São José,Hereford,Multípara,11.0,7.3,51,492,Touro_D,IATF + Repasse,78.5,1,0,60,8.37,501.3,2590,51
BOV-00029,Fazenda São José,Nelore,Novilha,2.8,5.5,0,367,Touro_E,IATF + Repasse,71.8,1,0,60,7.33,341.48,1844,0
BOV-00030,Fazenda Santa Helena,Angus,Multípara,4.9,6.3,44,551,Touro_A,IATF,64.2,1,0,45,10.76,592.43,3037,44
BOV-00031,Fazenda São José,Brangus,Novilha,2.1,4.8,0,440,Touro_B,Monta Natural,82.5,1,0,15,8.69,385.9,2429,0
BOV-00032,Fazenda Santa Helena,Angus,Novilha,2.2,6.1,0,368,Touro_J,IATF,70.5,1,0,45,8.83,370.94,2733,0
BOV-00033,Fazenda Santa Helena,Brangus,Multípara,11.8,6.3,53,499,Touro_G,Monta Natural,72.2,1,0,15,10.61,460.38,3012,53
BOV-00034,Fazenda Nova Aliança,Angus,Primípara,3.9,3.6,91,435,Touro_B,Monta Natural,74.8,0,0,15,8.55,628.03,2865,365
BOV-00035,Fazenda Nova Aliança,Angus,Multípara,7.3,5.3,35,474,Touro_H,IATF,67.0,0,0,45,7.92,532.24,2554,365
BOV-00036,Fazenda Esperança,Nelore,Primípara,2.6,5.7,48,346,Touro_G,Monta Natural,79.8,0,0,15,7.54,476.03,2106,365
BOV-00037,Fazenda Boa Vista,Brangus,Primípara,3.6,2.1,80,362,Touro_J,Monta Natural,66.4,0,0,15,8.94,438.71,2605,365
BOV-00038,Fazenda Santa Helena,Brangus,Primípara,2.7,6.3,76,429,Touro_H,Monta Natural,73.4,1,0,15,9.4,522.94,2786,76
BOV-00039,Fazenda Esperança,Nelore,Primípara,4.2,5.4,54,352,Touro_D,TE,68.8,1,0,180,7.02,282.39,2198,54
BOV-00040,Fazenda Boa Vista,Nelore,Primípara,4.0,5.7,48,427,Touro_A,Monta Natural,78.4,0,0,15,7.92,345.41,1934,365
BOV-00041,Fazenda Santa Helena,Senepol,Multípara,7.7,5.0,95,429,Touro_G,Monta Natural,75.4,0,0,15,7.93,426.91,2845,365
BOV-00042,Fazenda São José,Angus,Multípara,7.4,3.4,68,492,Touro_A,Monta Natural,70.9,1,0,15,9.28,413.95,2446,68
BOV-00043,Fazenda Santa Helena,Angus,Multípara,11.2,6.1,30,535,Touro_G,IATF + Repasse,62.7,1,0,60,9.2,531.81,2972,30
BOV-00044,Fazenda Nova Aliança,Senepol,Multípara,6.3,5.4,30,381,Touro_I,IATF,74.3,0,0,45,7.29,469.63,2588,365
BOV-00045,Fazenda Boa Vista,Brangus,Primípara,3.0,5.0,62,401,Touro_E,IATF + Repasse,72.9,0,0,60,6.54,519.86,2573,365
BOV-00046,Fazenda São José,Angus,Multípara,11.5,6.8,78,487,Touro_B,IATF,62.7,1,1,45,8.47,598.33,2508,78
BOV-00047,Fazenda Boa Vista,Hereford,Primípara,4.1,5.8,81,453,Touro_K,IATF,73.2,1,0,45,5.79,538.2,1906,81
BOV-00048,Fazenda São José,Hereford,Multípara,10.6,7.8,88,514,Touro_A,Monta Natural,76.0,1,1,15,9.07,440.44,2221,88
BOV-00049,Fazenda São José,Angus,Primípara,2.9,5.2,40,485,Touro_H,IATF,72.4,0,0,45,8.93,431.56,2913,365
BOV-00050,Fazenda Santa Helena,Angus,Multípara,5.1,4.7,65,484,Touro_D,IATF,69.0,1,0,45,8.79,401.1,2924,65
BOV-00051,Fazenda Nova Aliança,Nelore,Multípara,4.2,5.3,95,432,Touro_H,IATF,80.2,1,0,45,8.39,591.28,2659,95
BOV-00052,Fazenda Esperança,Senepol,Multípara,5.9,6.0,93,453,Touro_B,TE,83.0,1,0,180,6.99,465.0,2513,93
BOV-00053,Fazenda Nova Aliança,Brangus,Multípara,10.2,6.7,68,401,Touro_C,IATF,65.3,1,0,45,8.83,433.73,2615,68
BOV-00054,Fazenda Nova Aliança,Nelore,Multípara,5.9,3.7,118,414,Touro_C,IATF,78.2,0,0,45,8.12,512.08,1990,365
BOV-00055,Fazenda São José,Hereford,Multípara,9.8,5.5,75,480,Touro_D,IATF + Repasse,74.6,1,1,60,7.54,709.55,2587,75
BOV-00056,Fazenda Nova Aliança,Angus,Primípara,3.0,6.6,90,468,Touro_I,TE,68.3,1,0,180,8.34,575.91,2801,90
BOV-00057,Fazenda Santa Helena,Nelore,Primípara,3.3,4.8,70,353,Touro_I,IATF + Repasse,70.7,0,0,60,7.84,311.39,2699,365
BOV-00058,Fazenda Santa Helena,Angus,Primípara,4.5,5.9,54,399,Touro_E,TE,71.0,0,0,180,5.81,571.29,2904,365
BOV-00059,Fazenda Santa Helena,Angus,Novilha,1.9,6.4,0,391,Touro_G,IATF + Repasse,78.3,1,0,60,10.31,375.65,2676,0
BOV-00060,Fazenda Boa Vista,Hereford,Primípara,3.3,6.0,52,519,Touro_I,Monta Natural,69.3,1,0,15,5.11,702.44,2492,52
BOV-00061,Fazenda Boa Vista,Nelore,Primípara,3.1,4.2,73,357,Touro_A,IATF,61.0,1,0,45,6.07,472.43,1549,73
BOV-00062,Fazenda Boa Vista,Hereford,Primípara,2.7,4.2,65,487,Touro_B,IATF + Repasse,70.7,1,0,60,6.73,531.1,2305,65
BOV-00063,Fazenda Esperança,Angus,Multípara,7.9,5.5,30,543,Touro_F,Monta Natural,77.6,0,0,15,7.64,632.89,2690,365
BOV-00064,Fazenda Boa Vista,Nelore,Multípara,7.0,3.7,34,422,Touro_C,IATF,79.1,0,0,45,7.19,405.13,2201,365
BOV-00065,Fazenda Boa Vista,Senepol,Novilha,2.5,5.8,0,333,Touro_K,TE,69.5,0,0,180,6.65,430.17,2238,365
BOV-00066,Fazenda São José,Angus,Primípara,4.1,5.3,63,471,Touro_L,Monta Natural,74.9,0,0,15,7.37,699.66,3137,365
BOV-00067,Fazenda Santa Helena,Nelore,Primípara,3.6,6.8,84,398,Touro_K,IATF + Repasse,79.2,0,0,60,8.94,437.41,2434,365
BOV-00068,Fazenda Esperança,Angus,Primípara,2.6,5.4,69,416,Touro_G,IATF + Repasse,75.9,1,0,60,6.44,623.39,2933,69
BOV-00069,Fazenda Santa Helena,Hereford,Multípara,9.0,6.3,58,444,Touro_E,IATF,84.4,1,0,45,9.05,433.65,3034,58
BOV-00070,Fazenda Nova Aliança,Nelore,Primípara,2.6,6.2,50,408,Touro_J,TE,80.4,1,0,180,8.59,360.85,2564,50
BOV-00071,Fazenda Esperança,Nelore,Multípara,8.9,4.3,60,457,Touro_H,IATF + Repasse,69.4,1,0,60,7.55,685.02,2048,60
BOV-00072,Fazenda Santa Helena,Nelore,Multípara,9.5,5.3,92,407,Touro_A,Monta Natural,71.4,1,0,15,7.43,432.74,2055,92
BOV-00073,Fazenda Santa Helena,Nelore,Multípara,5.6,8.4,63,417,Touro_I,IATF + Repasse,82.2,0,0,60,8.03,584.45,2168,365
BOV-00074,Fazenda Esperança,Hereford,Novilha,2.7,5.9,0,417,Touro_K,IATF,65.0,1,0,45,9.32,342.21,2579,0
BOV-00075,Fazenda Esperança,Angus,Multípara,11.3,6.8,30,473,Touro_J,IATF + Repasse,71.6,1,0,60,7.35,586.36,2310,30
BOV-00076,Fazenda Esperança,Nelore,Primípara,4.1,6.0,44,378,Touro_F,IATF,83.4,0,0,45,5.94,303.28,2335,365
BOV-00077,Fazenda Esperança,Nelore,Primípara,3.1,3.5,81,360,Touro_L,IATF + Repasse,84.2,0,0,60,8.18,415.13,2207,365
BOV-00078,Fazenda Santa Helena,Nelore,Novilha,2.4,6.2,0,309,Touro_E,IATF + Repasse,73.8,1,0,60,7.79,406.52,2541,0
BOV-00079,Fazenda Boa Vista,Senepol,Primípara,4.3,5.1,65,517,Touro_H,IATF,62.0,1,0,45,8.18,638.47,2081,65
BOV-00080,Fazenda Santa Helena,Nelore,Primípara,3.1,5.3,68,382,Touro_L,IATF,69.9,1,0,45,6.14,473.43,2458,68
BOV-00081,Fazenda Nova Aliança,Senepol,Primípara,4.1,4.2,57,465,Touro_L,IATF,76.3,1,0,45,8.29,478.31,3128,57
BOV-00082,Fazenda São José,Angus,Multípara,4.1,4.2,72,547,Touro_D,IATF + Repasse,67.2,1,0,60,10.98,680.26,2554,72
BOV-00083,Fazenda Boa Vista,Nelore,Multípara,4.0,4.9,52,413,Touro_L,IATF,86.1,1,0,45,7.77,577.51,2033,52
BOV-00084,Fazenda Santa Helena,Hereford,Novilha,2.6,5.9,0,405,Touro_I,TE,70.6,1,0,180,9.19,464.8,2758,0
BOV-00085,Fazenda Boa Vista,Angus,Novilha,2.6,6.9,0,404,Touro_E,TE,80.0,1,1,180,6.2,476.39,2938,0
BOV-00086,Fazenda Boa Vista,Brangus,Multípara,10.3,7.7,55,396,Touro_A,Monta Natural,71.3,1,0,15,5.97,549.2,1962,55
BOV-00087,Fazenda Esperança,Senepol,Novilha,2.9,7.1,0,298,Touro_H,IATF,73.9,1,0,45,7.02,263.82,2760,0
BOV-00088,Fazenda São José,Nelore,Multípara,4.9,6.5,38,422,Touro_I,IATF + Repasse,72.0,0,0,60,9.56,515.16,1655,365
BOV-00089,Fazenda Nova Aliança,Nelore,Multípara,5.9,4.3,83,403,Touro_E,IATF + Repasse,68.6,0,0,60,7.75,456.24,2444,365
BOV-00090,Fazenda São José,Brangus,Primípara,4.3,4.6,65,506,Touro_E,IATF,69.6,1,0,45,7.4,552.6,2032,65
BOV-00091,Fazenda Santa Helena,Nelore,Novilha,1.8,6.2,0,331,Touro_F,Monta Natural,76.2,1,0,15,9.18,359.25,1988,0
BOV-00092,Fazenda Esperança,Nelore,Novilha,2.5,5.5,0,418,Touro_I,TE,70.7,1,0,180,7.56,519.57,2486,0
BOV-00093,Fazenda Esperança,Nelore,Novilha,2.3,6.5,0,321,Touro_E,Monta Natural,69.4,1,0,15,7.89,458.49,1997,0
BOV-00094,Fazenda São José,Nelore,Novilha,1.6,6.6,0,416,Touro_B,TE,75.7,1,0,180,8.63,522.1,2519,0
BOV-00095,Fazenda Esperança,Brangus,Multípara,6.3,6.1,75,480,Touro_C,TE,81.2,1,0,180,7.57,472.83,2608,75
BOV-00096,Fazenda São José,Nelore,Novilha,2.3,6.8,0,363,Touro_K,IATF,82.3,1,0,45,9.57,325.42,2231,0
BOV-00097,Fazenda São José,Angus,Primípara,4.2,4.1,46,430,Touro_J,TE,66.0,1,1,180,8.56,638.45,2658,46
BOV-00098,Fazenda Boa Vista,Brangus,Multípara,9.7,6.6,103,483,Touro_C,IATF,67.3,1,0,45,6.08,489.23,2309,103
BOV-00099,Fazenda Santa Helena,Angus,Primípara,3.7,4.3,95,518,Touro_I,IATF,79.8,0,0,45,7.12,583.44,3340,365
BOV-00100,Fazenda Santa Helena,Nelore,Novilha,2.2,5.2,0,334,Touro_H,IATF,69.0,1,0,45,8.44,271.25,2230,0
BOV-00101,Fazenda Santa Helena,Hereford,Novilha,1.9,6.4,0,376,Touro_F,Monta Natural,70.6,0,0,15,8.69,514.3,2242,365
BOV-00102,Fazenda São José,Nelore,Novilha,1.7,7.0,0,330,Touro_E,IATF,63.9,0,0,45,9.85,447.21,2374,365
BOV-00103,Fazenda Boa Vista,Brangus,Multípara,7.3,6.1,30,525,Touro_J,IATF,76.3,0,0,45,7.73,675.3,2151,365
BOV-00104,Fazenda São José,Hereford,Primípara,2.6,5.0,53,474,Touro_B,IATF,71.8,1,0,45,8.98,497.34,2662,53
BOV-00105,Fazenda Nova Aliança,Angus,Multípara,5.7,5.9,71,538,Touro_I,Monta Natural,78.4,1,0,15,8.2,571.11,2405,71
BOV-00106,Fazenda Santa Helena,Angus,Primípara,3.4,5.1,43,463,Touro_J,IATF + Repasse,76.8,1,0,60,10.22,531.16,2523,43
BOV-00107,Fazenda Boa Vista,Angus,Primípara,3.3,3.9,67,452,Touro_H,Monta Natural,78.3,0,0,15,7.64,488.79,2845,365
BOV-00108,Fazenda Esperança,Nelore,Primípara,2.6,3.8,78,407,Touro_E,IATF + Repasse,78.4,0,0,60,7.76,373.59,2263,365
BOV-00109,Fazenda Santa Helena,Hereford,Multípara,8.7,5.4,55,513,Touro_F,IATF,69.7,1,0,45,7.52,493.36,2311,55
BOV-00110,Fazenda Santa Helena,Hereford,Primípara,3.6,5.1,80,430,Touro_I,IATF,71.9,1,0,45,8.02,443.58,2738,80
BOV-00111,Fazenda Boa Vista,Nelore,Novilha,1.6,6.0,0,395,Touro_A,IATF,73.2,1,0,45,5.44,321.5,1680,0
BOV-00112,Fazenda Santa Helena,Brangus,Multípara,11.5,6.3,42,475,Touro_D,IATF,72.6,1,0,45,8.78,493.47,2935,42
BOV-00113,Fazenda Nova Aliança,Senepol,Primípara,2.7,4.8,30,314,Touro_E,IATF + Repasse,76.1,0,0,60,7.25,431.67,2503,365
BOV-00114,Fazenda Esperança,Senepol,Primípara,4.2,5.6,89,445,Touro_I,Monta Natural,69.2,0,0,15,6.46,502.17,2493,365
BOV-00115,Fazenda São José,Angus,Multípara,4.0,5.3,84,429,Touro_L,IATF,73.9,1,0,45,9.34,398.94,2548,84
BOV-00116,Fazenda Nova Aliança,Angus,Primípara,4.3,6.8,120,484,Touro_E,IATF,68.5,1,0,45,9.06,622.59,2568,120
BOV-00117,Fazenda Esperança,Nelore,Multípara,4.2,5.6,30,456,Touro_E,IATF,73.5,0,0,45,6.83,371.71,2451,365
BOV-00118,Fazenda Santa Helena,Senepol,Primípara,4.0,7.3,85,423,Touro_L,IATF + Repasse,74.2,1,0,60,8.16,384.17,2611,85
BOV-00119,Fazenda Nova Aliança,Nelore,Multípara,6.9,5.9,30,442,Touro_L,IATF,64.9,1,0,45,7.69,533.71,2479,30
BOV-00120,Fazenda São José,Angus,Multípara,9.9,5.2,103,524,Touro_C,IATF + Repasse,74.1,1,0,60,10.41,665.84,2581,103
BOV-00121,Fazenda Esperança,Nelore,Primípara,3.3,4.1,79,370,Touro_H,IATF,80.2,0,0,45,6.33,372.34,2131,365
BOV-00122,Fazenda Nova Aliança,Nelore,Multípara,4.6,3.8,36,452,Touro_G,TE,78.4,1,0,180,5.46,449.55,2292,36
BOV-00123,Fazenda Boa Vista,Angus,Multípara,10.1,4.3,79,527,Touro_H,Monta Natural,64.9,1,0,15,7.4,429.22,2732,79
BOV-00124,Fazenda Santa Helena,Senepol,Primípara,2.6,4.1,58,480,Touro_D,IATF,64.4,1,0,45,5.89,479.74,2631,58
BOV-00125,Fazenda Santa Helena,Nelore,Primípara,4.3,5.4,76,346,Touro_H,IATF + Repasse,75.2,1,0,60,7.47,509.15,2019,76
BOV-00126,Fazenda Boa Vista,Angus,Multípara,4.4,4.9,65,496,Touro_J,Monta Natural,72.9,1,0,15,8.95,534.66,2434,65
BOV-00127,Fazenda Esperança,Nelore,Multípara,7.8,5.7,103,382,Touro_D,IATF + Repasse,71.1,0,0,60,7.42,393.26,2317,365
BOV-00128,Fazenda Nova Aliança,Nelore,Novilha,2.6,7.0,0,300,Touro_A,IATF + Repasse,57.1,1,0,60,8.36,371.58,1760,0
BOV-00129,Fazenda Santa Helena,Angus,Multípara,7.1,5.4,105,494,Touro_D,IATF + Repasse,65.8,1,0,60,9.38,737.23,3412,105
BOV-00130,Fazenda São José,Angus,Novilha,1.8,7.7,0,403,Touro_E,IATF + Repasse,79.7,1,0,60,7.51,445.88,2702,0
BOV-00131,Fazenda Boa Vista,Nelore,Multípara,10.1,4.1,45,466,Touro_J,Monta Natural,74.5,1,0,15,7.26,403.77,2079,45
BOV-00132,Fazenda Santa Helena,Nelore,Multípara,10.3,5.3,86,406,Touro_H,IATF + Repasse,83.9,1,0,60,6.7,528.69,2265,86
BOV-00133,Fazenda Santa Helena,Nelore,Multípara,11.4,4.9,68,415,Touro_L,IATF,77.2,1,0,45,7.72,592.7,2323,68
BOV-00134,Fazenda Boa Vista,Nelore,Novilha,2.1,6.7,0,348,Touro_J,IATF + Repasse,74.0,1,0,60,6.92,444.14,2053,0
BOV-00135,Fazenda Nova Aliança,Senepol,Multípara,8.1,2.8,30,406,Touro_F,IATF + Repasse,62.6,1,0,60,7.05,466.12,2558,30
BOV-00136,Fazenda Boa Vista,Senepol,Primípara,3.2,3.6,56,381,Touro_K,Monta Natural,74.0,0,0,15,6.87,370.53,2341,365
BOV-00137,Fazenda São José,Nelore,Primípara,3.0,4.9,116,435,Touro_J,IATF,71.5,1,0,45,9.83,483.8,2567,116
BOV-00138,Fazenda Esperança,Angus,Novilha,2.6,7.2,0,378,Touro_E,IATF,65.2,0,0,45,6.66,414.12,3053,365
BOV-00139,Fazenda Boa Vista,Senepol,Multípara,6.7,5.8,68,487,Touro_C,IATF + Repasse,79.8,1,0,60,7.52,717.78,2346,68
BOV-00140,Fazenda Nova Aliança,Nelore,Primípara,3.4,3.6,89,414,Touro_D,Monta Natural,72.4,0,0,15,6.99,341.91,2076,365
BOV-00141,Fazenda Nova Aliança,Hereford,Novilha,2.1,5.0,0,328,Touro_F,IATF,74.5,0,0,45,9.15,346.13,2528,365
BOV-00142,Fazenda Boa Vista,Senepol,Multípara,9.7,7.5,54,461,Touro_F,IATF,67.0,1,0,45,7.71,469.18,2481,54
BOV-00143,Fazenda São José,Nelore,Multípara,11.3,4.8,46,441,Touro_F,Monta Natural,74.2,1,0,15,9.68,655.99,2345,46
BOV-00144,Fazenda Boa Vista,Nelore,Multípara,9.3,4.4,60,437,Touro_B,IATF,71.0,0,0,45,7.86,351.58,2401,365
BOV-00145,Fazenda Boa Vista,Senepol,Multípara,7.8,7.3,53,434,Touro_K,TE,85.7,1,0,180,9.09,436.05,2537,53
BOV-00146,Fazenda Santa Helena,Angus,Primípara,4.1,6.0,40,412,Touro_L,IATF,68.7,0,0,45,8.73,610.45,2861,365
BOV-00147,Fazenda São José,Nelore,Multípara,9.1,7.0,34,474,Touro_H,IATF,67.8,1,0,45,8.09,432.03,2176,34
BOV-00148,Fazenda São José,Nelore,Multípara,4.5,4.4,77,416,Touro_H,IATF,73.5,1,0,45,9.61,562.65,2480,77
BOV-00149,Fazenda Santa Helena,Angus,Primípara,2.7,3.5,62,415,Touro_F,IATF,70.6,0,0,45,8.68,495.76,2701,365
BOV-00150,Fazenda Boa Vista,Brangus,Novilha,1.6,6.1,0,398,Touro_D,IATF + Repasse,73.4,1,1,60,7.22,570.8,3181,0
BOV-00151,Fazenda Nova Aliança,Brangus,Primípara,3.4,5.3,70,400,Touro_B,IATF,81.9,1,0,45,8.31,564.47,3008,70
BOV-00152,Fazenda Santa Helena,Senepol,Primípara,4.2,5.4,74,372,Touro_F,IATF,66.1,1,0,45,6.82,447.65,2415,74
BOV-00153,Fazenda Santa Helena,Nelore,Multípara,6.5,7.3,67,405,Touro_F,TE,72.7,1,0,180,7.58,481.13,2171,67
BOV-00154,Fazenda São José,Angus,Multípara,7.1,3.4,88,453,Touro_J,IATF,68.2,1,0,45,7.59,410.31,1895,88
BOV-00155,Fazenda Nova Aliança,Angus,Multípara,11.3,6.5,32,444,Touro_C,IATF,68.0,1,0,45,10.29,373.98,2426,32
BOV-00156,Fazenda Santa Helena,Angus,Primípara,4.2,3.9,81,482,Touro_B,IATF,71.2,0,0,45,10.45,632.61,2666,365
BOV-00157,Fazenda Esperança,Nelore,Novilha,2.5,6.7,0,335,Touro_D,Monta Natural,72.1,1,0,15,9.91,411.65,2074,0
BOV-00158,Fazenda Esperança,Senepol,Multípara,6.1,4.9,78,490,Touro_H,IATF + Repasse,82.7,0,0,60,9.25,664.81,2657,365
BOV-00159,Fazenda Santa Helena,Hereford,Primípara,2.7,4.2,89,406,Touro_E,TE,68.9,1,0,180,8.41,329.97,2931,89
BOV-00160,Fazenda Esperança,Angus,Multípara,4.1,4.8,30,411,Touro_C,IATF + Repasse,70.5,0,0,60,6.36,597.42,2306,365
BOV-00161,Fazenda Boa Vista,Brangus,Novilha,1.7,4.8,0,386,Touro_L,IATF + Repasse,60.8,0,0,60,7.08,328.53,2257,365
BOV-00162,Fazenda São José,Nelore,Multípara,6.3,5.5,66,494,Touro_E,TE,74.7,0,0,180,10.87,708.02,1793,365
BOV-00163,Fazenda São José,Angus,Novilha,2.3,5.4,0,421,Touro_I,IATF + Repasse,72.7,1,0,60,9.3,393.16,2377,0
BOV-00164,Fazenda São José,Brangus,Novilha,1.6,6.6,0,509,Touro_K,IATF,75.6,1,0,45,9.08,499.83,2592,0
BOV-00165,Fazenda Santa Helena,Angus,Novilha,1.7,6.5,0,413,Touro_H,Monta Natural,73.4,1,0,15,8.65,582.44,3085,0
BOV-00166,Fazenda Esperança,Senepol,Multípara,5.4,7.5,102,449,Touro_L,Monta Natural,61.1,0,0,15,7.58,501.09,2887,365
BOV-00167,Fazenda Boa Vista,Brangus,Multípara,9.1,5.9,57,374,Touro_J,IATF,82.4,0,0,45,6.96,481.0,2955,365
BOV-00168,Fazenda Santa Helena,Nelore,Primípara,3.7,5.5,79,407,Touro_G,IATF,73.8,1,0,45,8.14,582.0,1638,79
BOV-00169,Fazenda Santa Helena,Brangus,Multípara,8.4,7.2,79,467,Touro_D,IATF + Repasse,74.2,1,0,60,9.85,468.92,2457,79
BOV-00170,Fazenda São José,Nelore,Multípara,6.0,4.7,34,404,Touro_B,IATF,82.6,0,0,45,8.04,361.59,2254,365
BOV-00171,Fazenda Esperança,Nelore,Multípara,7.0,3.7,105,415,Touro_L,IATF + Repasse,69.1,1,0,60,7.66,489.0,2428,105
BOV-00172,Fazenda Santa Helena,Nelore,Multípara,4.8,5.7,72,417,Touro_I,IATF,63.7,1,0,45,8.08,446.93,1500,72
BOV-00173,Fazenda São José,Angus,Primípara,3.0,3.6,80,443,Touro_C,Monta Natural,65.5,0,0,15,7.87,602.09,2568,365
BOV-00174,Fazenda Santa Helena,Hereford,Primípara,4.3,7.5,36,524,Touro_F,IATF,71.8,1,0,45,7.92,421.05,3138,36
BOV-00175,Fazenda São José,Angus,Multípara,11.8,7.2,79,465,Touro_G,Monta Natural,71.3,1,0,15,8.1,560.92,2772,79
BOV-00176,Fazenda Santa Helena,Hereford,Multípara,9.2,8.1,72,477,Touro_L,IATF + Repasse,81.8,1,0,60,7.29,553.87,3114,72
BOV-00177,Fazenda Esperança,Angus,Multípara,11.3,5.6,100,464,Touro_C,IATF + Repasse,74.3,1,1,60,7.82,647.19,3003,100
BOV-00178,Fazenda Boa Vista,Nelore,Multípara,9.1,6.2,52,451,Touro_C,Monta Natural,63.3,1,0,15,8.44,542.82,2020,52
BOV-00179,Fazenda Nova Aliança,Hereford,Novilha,1.5,5.6,0,397,Touro_C,IATF + Repasse,67.9,0,0,60,7.04,594.3,2858,365
BOV-00180,Fazenda Santa Helena,Nelore,Multípara,12.0,6.6,35,409,Touro_C,IATF + Repasse,68.4,1,0,60,8.0,334.8,2527,35
BOV-00181,Fazenda Boa Vista,Nelore,Primípara,2.7,3.8,56,313,Touro_C,IATF,70.4,1,0,45,6.73,360.73,2091,56
BOV-00182,Fazenda Santa Helena,Angus,Multípara,9.5,2.4,47,490,Touro_G,IATF,67.8,1,0,45,8.74,726.77,2589,47
BOV-00183,Fazenda Nova Aliança,Nelore,Primípara,3.0,4.2,47,378,Touro_E,IATF,64.7,0,0,45,8.28,552.61,1886,365
BOV-00184,Fazenda Nova Aliança,Nelore,Multípara,7.1,3.8,92,418,Touro_D,IATF,72.9,1,0,45,8.63,398.36,2458,92
